2026-05-03 23:27:47 | Experiment | INFO | metric_rfmetric_manager.py:141 | [project1-rapidfire-rag-contexteng:Experiment] Created MLflow run: 47ed969f97704db2875537ca0f2a54db, 2
2026-05-03 23:27:47 | Experiment | INFO | metric_rfmetric_manager.py:141 | [project1-rapidfire-rag-contexteng:Experiment] Created MLflow run: bc2bc7173ec94402b8236b841d40fa73, 3
2026-05-03 23:27:47 | Experiment | INFO | metric_rfmetric_manager.py:141 | [project1-rapidfire-rag-contexteng:Experiment] Created MLflow run: 9f9b101d24bb477da824b0009427a7eb, 4
2026-05-03 23:27:48 | Experiment | INFO | metric_rfmetric_manager.py:141 | [project1-rapidfire-rag-contexteng:Experiment] Created MLflow run: e54d51eb842c4bd6bb8bc5e46a944ce1, 5
2026-05-03 23:27:48 | Experiment | INFO | metric_rfmetric_manager.py:141 | [project1-rapidfire-rag-contexteng:Experiment] Created MLflow run: fdd0e81cb1fe4e2582cf34fefac1b4ae, 6
2026-05-03 23:27:48 | Experiment | INFO | metric_rfmetric_manager.py:141 | [project1-rapidfire-rag-contexteng:Experiment] Created MLflow run: a55655434e0244668553798d768800b7, 7
2026-05-03 23:27:48 | Experiment | INFO | metric_rfmetric_manager.py:141 | [project1-rapidfire-rag-contexteng:Experiment] Created MLflow run: 87359ab3818e42f1a8fded2b98ec7669, 8
2026-05-03 23:27:48 | Controller | INFO | controller.py:931 | [project1-rapidfire-rag-contexteng:Controller] Initialized scheduler with 8 pipelines, 6 actors, 8 shards
2026-05-03 23:27:48 | Controller | INFO | controller.py:1118 | [project1-rapidfire-rag-contexteng:Controller] Created experiment-wide rate limiter actor for 8 OpenAI pipeline(s) with per-model limits (api-llama-4-scout: 80 RPM, 500000 TPM)
2026-05-03 23:27:48 | Controller | INFO | controller.py:1124 | [project1-rapidfire-rag-contexteng:Controller] Starting multi-pipeline inference scheduling...
2026-05-03 23:27:48 | Controller | INFO | controller.py:1422 | [project1-rapidfire-rag-contexteng:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 0 (1 batches)
2026-05-03 23:28:10 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [project1-rapidfire-rag-contexteng:QueryProcessingActor-0] Initializing new inference engine (config hash: 9924b857)
